id,exp_id,sequence_id,treatment_id,question_id,vis_id
1,5,1,1,1,1
2,5,2,1,2,1
3,5,3,1,3,1
4,5,4,1,4,1
5,5,5,1,5,1
6,5,6,1,6,1
7,5,7,1,7,1
8,5,8,1,8,1
9,5,1,2,10,2
10,5,2,2,11,2
11,5,3,2,12,2
12,5,4,2,13,2
13,5,5,2,14,2
14,5,6,2,15,2
15,5,7,2,16,2
16,5,8,2,17,2
17,5,1,3,19,3
18,5,2,3,20,3
19,5,3,3,21,3
20,5,4,3,22,3
21,5,5,3,23,3
22,5,6,3,24,3
23,5,7,3,25,3
24,5,8,3,26,3
25,5,1,4,28,4
26,5,2,4,29,4
27,5,3,4,30,4
28,5,4,4,31,4
29,5,5,4,32,4
30,5,6,4,33,4
31,5,7,4,34,4
32,5,8,4,35,4
33,5,1,5,28,5
34,5,2,5,29,5
35,5,3,5,30,5
36,5,4,5,31,5
37,5,5,5,32,5
38,5,6,5,33,5
39,5,7,5,34,5
40,5,8,5,35,5
41,5,1,6,28,6
42,5,2,6,29,6
43,5,3,6,30,6
44,5,4,6,31,6
45,5,5,6,32,6
46,5,6,6,33,6
47,5,7,6,34,6
48,5,8,6,35,6